Species1,Species_new
Chlorospingus semifuscus,Chlorospingus semifuscus
Heliodoxa jacula,Heliodoxa jacula
buscar,buscar
Anisognathus lacrymosus,Anisognathus lacrymosus
Mionectes striaticollis,Mionectes striaticollis
Diglossa cyanea,Diglossa cyanea
Tangara gyrola,Tangara gyrola
Xenops minutus,Xenops minutus
Creurgops verticalis,Creurgops verticalis
Saltator atripennis,Saltator atripennis
Diglossa albilatera,Diglossa albilatera
Myrmotherula schiticolor,Myrmotherula schiticolor
Thamnophilus unicolor,Thamnophilus unicolor
Piaya cayana,Piaya cayana
Saltator maximus ,Saltator maximus
Manacus manacus,Manacus manacus
Thalurania colombica,Thalurania colombica
Diglossa indigotica,Diglossa indigotica
Phyllomyias nigrocapillus,Phyllomyias nigrocapillus
Tangara nigroviridis,Tangara nigroviridis
Phyllomyias cinereiceps,Phyllomyias cinereiceps
Snowornis cryptolophus,Snowornis cryptolophus
Pachyramphus versicolor,Pachyramphus versicolor
Habia cristata,Habia cristata
Pseudocolaptes lawrencii,Pseudocolaptes lawrencii
Campephilus haematogaster,Campephilus haematogaster
Poecilotriccus ruficeps,Poecilotriccus ruficeps
Chlorophonia pyrrhophrys,Chlorophonia pyrrhophrys
Uropsalis lyra,Uropsalis lyra
Glaucidium jardinii,Glaucidium jardinii
Myrmotherula schisticolor,Myrmotherula schisticolor
Lophotriccus pileatus,Lophotriccus pileatus
Veniliornis affinis,Veniliornis affinis
Amazilia franciae,Amazilia franciae
Drymotoxeres pucheranii,Drymotoxeres pucheranii
Tachyphonus luctuosus,Tachyphonus luctuosus
Syndactyla subalaris,Syndactyla subalaris
Boissonneaua flavescens,Boissonneaua flavescens
Phaethornis longirostris,Phaethornis longirostris
Ixothraupis rufigula,Ixothraupis rufigula
Urochroa bougueri,Urochroa bougueri
Chlorornis riefferii,Chlorornis riefferii
Microcerculus marginatus,Microcerculus marginatus
Dryobates fumigatus,Dryobates fumigatus
Dysithamnus occidentalis,Dysithamnus occidentalis
Setophaga fusca,Setophaga fusca
Drymophila striaticeps,Drymophila striaticeps
Bangsia melanochlamys,Bangsia melanochlamys
Zimmerius chrysops,Zimmerius chrysops
Zentrygon frenata,Zentrygon frenata
Haplophaedia aureliae,Haplophaedia aureliae
Premnoplex brunnescens,Premnoplex brunnescens
Myiobius villosus,Myiobius villosus
Atlapetes latinuchus,Atlapetes latinuchus
Scytalopus vicinior,Scytalopus vicinior
Platyrinchus coronatus,Platyrinchus coronatus
Platyrinchus mystaceus,Platyrinchus mystaceus
Thripadectes flammulatus,Thripadectes flammulatus
Doryfera ludovicae,Doryfera ludovicae
Hafferia zeledoni,Hafferia zeledoni
Malacoptila panamensis,Malacoptila panamensis
Microbates cinereiventris,Microbates cinereiventris
Myioborus miniatus,Myioborus miniatus
Arremon brunneinucha,Arremon brunneinucha
Myiarchus tuberculifer,Myiarchus tuberculifer
Cyphorhinus thoracicus,Cyphorhinus thoracicus
Chlorostilbon mellisugus,Chlorostilbon mellisugus
Turdus fuscater,Turdus fuscater
Turdus flavipes,Turdus flavipes
Colaptes rubiginosus,Colaptes rubiginosus
Euphonia xanthogaster,Euphonia xanthogaster
Xiphorhynchus triangularis,Xiphorhynchus triangularis
Trogon collaris,Trogon collaris
Machaeropterus deliciosus,Machaeropterus deliciosus
Thripadectes virgaticeps,Thripadectes virgaticeps
Hafferia immaculata,Hafferia immaculata
Turdus ignobilis,Turdus ignobilis
Rhynchocyclus brevirostris,Rhynchocyclus brevirostris
Dysithamnus mentalis,Dysithamnus mentalis
Grallaria flavotincta,Grallaria flavotincta
Piranga rubra,Piranga rubra
Diglossa gloriosissima,Diglossa gloriosissima
Cyclarhis nigrirostris,Cyclarhis nigrirostris
Atlapetes albinucha,Atlapetes albinucha
Pipreola riefferii,Pipreola riefferii
Xiphorhynchus erythropygius,Xiphorhynchus erythropygius
Anisognathus somptuosus,Anisognathus somptuosus
